subject,repetition,g,swap,SD,nTrials
6,3,0.084011414771557,0.000348469540132193,14.2838203237384,97
6,4,0.000327340009817845,0.000611810398236992,16.7521222333146,93
6,5,0.0424124736848775,0.000492416745655406,16.8782852053656,91
6,6,0.0596812751153404,0.000342652545265497,12.4624799696301,94
7,1,0.471979607025316,2.24232340020371e-06,18.6272906276745,96
7,2,0.00910771222019201,0.00057398408224517,20.9702626604769,101
7,3,0.0501190064833793,0.000370743373242532,16.600056432597,104
7,4,0.00104915424129381,0.00089297360658864,18.5082213642717,100
7,5,0.0352068371196137,6.36804953114008e-05,15.7908913705578,99
7,6,0.00163657234515226,2.2023135200772e-05,17.5670049387756,104
8,1,0.29050809253128,5.92316429640369e-05,17.0399961249745,91
8,2,0.027063175808985,0.000493882866334416,15.2395633254319,95
8,3,0.00019208524278549,0.000720005119225415,16.4208507728656,94
8,4,0.00769478268953406,0.000350182450539205,16.4846933309519,98
8,5,0.014547882286983,3.52143569800237e-05,16.6324668577289,94
8,6,0.00175504576758667,0.00226857956491937,15.3818544232936,97
9,1,0.339368185781147,0.000620795421285887,29.3871361213547,96
9,2,0.0548884839843172,0.000244271703067734,28.2893021308813,101
9,3,0.0210839709713721,0.000111809272815882,26.5994257368893,99
9,4,0.0820535414329832,0.000107467016987579,23.8627409030735,101
9,5,0.0294214025321384,0.0010937084949833,25.7415767065709,95
9,6,0.0463223634261476,0.000138757164825251,28.6044456316482,95
10,1,0.571642318526163,0.000445921688751847,23.6555095620012,99
10,2,0.00184020559856137,0.0012430632511388,24.0612727666338,95
10,3,0.0308300863372993,8.47192307903972e-05,22.0874588973326,97
10,4,0.0454047228830275,0.000929416542106864,17.6741383113862,93
10,5,0.155893949050748,0.000323815420273095,18.7839646740982,93
10,6,0.0379028464556228,0.000563909253940936,18.314342346268,98
11,1,0.450795614570525,0.00106924674084565,24.5278942306081,98
11,2,0.00181153807483892,0.000408961789273572,26.8332247124453,97
11,3,0.000510726080128596,0.000905887554285402,25.3563230464673,95
11,4,0.0388152813716238,8.77341715321053e-06,22.4143837958919,94
11,5,0.0555915698109333,0.000192284073204279,25.4512676228007,93
11,6,0.00950888528866263,0.000166692168089039,23.2023208693403,93
13,1,0.202889203256009,0.000723177625860317,17.0088440056283,93
13,2,0.0145618376265031,0.000483998933714202,14.7151467417183,102
