subject,test,repetition,g,SD,nTrials
23,1,3,0.019977623445621,20.6573284428071,77
23,1,4,0.089770858608223,19.8696439903146,78
23,1,5,0.0331517186014354,24.2606224910133,79
23,1,6,0.0277425965582834,26.1079634739163,78
23,2,1,0.134509532276788,31.0868999470551,79
23,2,2,0.0291115894538082,19.4534619475411,76
23,2,3,0.000234474767121105,21.9069841531127,76
23,2,4,0.0196247996859184,21.1718166809357,77
23,2,5,0.0473566394905425,19.1857996671243,75
23,2,6,0.000197221766164808,22.283298168244,74
24,1,1,0.196749599303454,18.6981435867802,77
24,1,2,0.0208406106839521,18.434594175222,80
24,1,3,0.0215472094548892,16.5689112244131,79
24,1,4,4.10545886122896e-05,20.6993376470642,80
24,1,5,0.000264462402892022,25.2292689922063,78
24,1,6,0.000206905949705509,19.8994101800139,80
24,2,1,0.131291941729418,23.4867811766722,79
24,2,2,0.000477537069183443,20.2744231749497,78
24,2,3,0.0262930771730509,19.1390963623489,75
24,2,4,0.00034284338999811,20.6012004721931,77
24,2,5,0.000694384387948099,17.1227362458011,79
24,2,6,0.000539504240272574,19.0558572888996,79
25,1,1,0.154160011322711,33.2166857496235,79
25,1,2,8.43421495965811e-05,30.5150519904441,79
25,1,3,0.000449716697027281,26.7286974782532,79
25,1,4,0.00137815735834473,29.3094327985071,80
25,1,5,0.00527254818435607,34.5380182130075,79
25,1,6,0.0812681847780378,27.0930771472472,80
25,2,1,0.146730305592982,34.9529745329272,78
25,2,2,0.0335457205662583,25.760161071013,80
25,2,3,0.0504718763330278,27.5132565844626,80
25,2,4,0.000167456249792832,30.1216644788317,80
25,2,5,2.80482913161267e-05,27.6754363132381,79
25,2,6,0.0255061868997288,31.0454884867375,79
26,1,1,0.000594949041147787,20.1329277763107,79
26,1,2,0.0211157338853121,21.2194448309043,79
26,1,3,0.000466312800516076,19.10598222099,79
26,1,4,0.035155722180471,19.4383738514235,79
26,1,5,0.000280766913636807,22.1495979293176,79
26,1,6,2.65100585335378e-05,21.2659981952894,80
26,2,1,0.161364408753035,27.4095077283737,80
26,2,2,0.00134622561098634,27.7719938467098,79
26,2,3,0.0365461587155294,21.4886241292851,79
26,2,4,0.0284540313707721,18.6620978117101,80
26,2,5,0.000404650602239768,28.5757463601072,78
26,2,6,0.0279178684048419,24.0692622162746,80
27,1,1,0.0351475299404624,19.1953825975563,78
27,1,2,0.0251831081885561,21.3629512121604,80
27,1,3,0.0013443109653884,23.0805905507433,78
27,1,4,0.00103447601074439,23.4586644274199,79
27,1,5,0.0194034978913788,19.7343848398875,80
27,1,6,0.000747205599870603,26.2816862154627,79
27,2,1,0.112800498400009,27.398845159838,79
27,2,2,0.12354240355991,17.694086068836,78
27,2,3,0.0283747295919503,21.2545250775394,79
27,2,4,0.000132038544720788,23.6127368254776,77
27,2,5,0.0222375964960933,20.893243335679,78
27,2,6,2.48094768111097e-05,21.449133054871,79
28,1,1,0.00142913163066066,23.1242218453559,80
28,1,2,0.0193541758698577,17.2124663777632,80
28,1,3,0.0446515620750625,14.4412438277619,80
28,1,4,0.0455985066120408,18.1017935108547,80
28,1,5,0.0233964533332848,20.0188878350943,79
28,1,6,0.00014812187639386,19.4508124100155,80
28,2,1,0.00268884471367671,35.1937926409562,80
28,2,2,0.0385873179638987,17.0589024307915,79
28,2,3,0.000116333627279011,18.1300127951075,80
