subject,test,repetition,context,g,SD,nTrials
61,1,5,1,0.0971401185435976,34.9183439409139,41
61,2,1,0,0.461405964904397,28.387011896946,40
61,2,1,1,0.00407611170501651,59.7710426023295,40
61,2,5,0,0.130330682041426,32.4940186674352,39
61,2,5,1,0.132933932422961,22.1612143359592,41
63,1,1,0,0.100021678128737,14.1229584354953,38
63,1,1,1,0.0815808803552961,15.1875778955893,41
63,1,5,0,0.000381556608446479,15.2076539494857,39
63,1,5,1,0.000575651752584942,16.6204476724681,37
63,2,1,0,0.0351401348907615,20.1174475086377,37
63,2,1,1,0.0747905370144294,15.4324150733389,40
63,2,5,0,0.0366466133782432,15.4156985463727,40
63,2,5,1,0.00166041201747282,14.7894833116949,38
64,1,1,0,0.000818540851415837,23.8808824692637,39
64,1,1,1,0.0734637616993947,18.7890673880145,41
64,1,5,0,0.0854353144784286,21.3372043014537,39
64,1,5,1,0.038605684590625,17.6791539558479,40
64,2,1,0,0.155075784736519,27.3963076405845,39
64,2,1,1,0.137347727058579,27.7898664040732,41
64,2,5,0,0.00207505435421811,23.8253484441895,38
64,2,5,1,0.0323291265387104,16.6047482984495,40
65,1,1,0,0.120119727215804,19.5302017279382,36
65,1,1,1,0.136747315334242,30.4876227050953,40
65,1,5,0,0.222372079209155,16.0014438075396,38
65,1,5,1,0.139261838045182,20.504570369257,38
65,2,1,0,0.556429160752933,26.2853550475444,39
65,2,1,1,0.615496646637089,21.8283213581682,35
65,2,5,0,0.25302972925929,35.3421269132952,39
65,2,5,1,0.506860792798626,19.295479791081,38
66,1,1,0,0.0685623569295331,22.2629971193687,39
66,1,1,1,0.152508269605616,19.469522712724,38
66,1,5,0,8.63034323880961e-05,19.4430349537959,40
66,1,5,1,0.0969484794138222,15.1867658137526,39
66,2,1,0,0.143191845293803,19.0023597480521,39
66,2,1,1,0.249858969817334,28.117073739577,40
66,2,5,0,0.000204390421348111,19.0699841156321,41
66,2,5,1,0.0241997391665837,19.06092430378,38
67,1,1,0,0.0326951910178346,15.4521381761196,36
67,1,1,1,0.000765533940473406,12.9143248462331,41
67,1,5,0,4.65351745984298e-05,11.7813471962312,39
67,1,5,1,0.00182989966843909,13.8844944327708,40
67,2,1,0,0.00190223935623844,21.2541393982718,36
67,2,1,1,0.034091356031164,15.0802941716311,41
67,2,5,0,0.00103078035314337,12.668339253776,38
67,2,5,1,0.000618466499004627,9.98016150879584,39
68,1,1,0,0.0734730647126677,17.9099847963066,38
68,1,1,1,0.0667914102062364,16.9761902028113,40
68,1,5,0,0.119289571338156,14.5917661292467,42
68,1,5,1,0.000663509730502051,18.9281870751098,36
68,2,1,0,0.0668021328516942,26.1575843844628,40
68,2,1,1,0.0501308928051336,22.9161426514134,40
68,2,5,0,0.00139056719385892,29.4707750058441,44
68,2,5,1,0.00149091376797253,25.9143996955596,36
69,1,1,0,0.000314364404991604,14.5134956788362,37
69,1,1,1,0.118724147235647,12.7531136470203,40
69,1,5,0,0.000450644982506299,11.9578796669965,36
69,1,5,1,8.86764231009581e-06,13.1496899316651,42
69,2,1,0,0.0661534690704869,14.557468049208,38
69,2,1,1,0.125708351264768,17.7269033654519,40
69,2,5,0,9.05974664368336e-05,13.2126689926637,38
69,2,5,1,6.71954121250041e-05,15.1098001870461,40
70,1,1,0,0.0353022775666426,15.3306149587188,39
70,1,1,1,0.000398097294254211,23.5542173483917,40
70,1,5,0,0.00141541102036008,18.768708517331,40
